t,posx,posy,posz,vx,vy,vz,Rx,Ry,ox,oy,finx,finy,finz,thx,thy,thz,aero_x,aero_y,aero_z,at_x,at_y,at_z
0.0,500.0,2500.0,15000.0,0.0,-150.0,-350.0,-0.4048917862850834,0.0,0.0,0.0,-0.3143089771400697,0.0,0.02460359393444106,0.0,0.0,0.0,2864.6070954758943,-15377.46764055096,24062.383489174616,-330578.64255184354,-40104.49933666253,0.0
0.024543927933352833,500.0000423395269,2496.31810031516,14991.40722672024,0.0034639557643567423,-150.0253142688812,-350.19543042158676,-0.40472623630171634,1.858231169598215e-5,0.012968896740941979,0.001460798351647681,-0.31459955692176994,0.0,0.025166091353226124,0.0,0.0,0.0,2930.7075243160302,-15438.86547326493,24140.315380720676,-331765.73356129625,-41030.8680145556,0.0
0.04908785586670567,500.0001707204122,2492.635578352664,14982.809657940068,0.007011301836365365,-150.05070726412185,-350.3907687053712,-0.40427784197221645,6.938596741363271e-5,0.023161552638845534,0.0026373077038971135,-0.31527294037744846,0.0,0.025772870635309322,0.0,0.0,0.0,2997.2295977751664,-15500.294378748977,24218.596598409535,-332944.4979067269,-41962.07611886296,0.0
0.07363178380005853,500.000387195752,2488.9524321806744,14974.207295926159,0.010642551226672571,-150.07617891788146,-350.586014448029,-0.40360702560478384,0.00014622862759656978,0.03118185115777528,0.003591747931958356,-0.3162478869290809,0.0,0.026415842019158538,0.0,0.0,0.0,3064.144162235621,-15561.583620296517,24297.12937667164,-334117.1301661252,-42898.35736518478,0.0
0.09817571173341129,500.00069383074367,2485.2686598719015,14965.600142952999,0.014358175361466738,-150.10172891061615,-350.7811674198269,-0.4027610701353226,0.00024428139487560856,0.03750237026578979,0.004372784215589021,-0.3174607978914643,0.0,0.027088686633417382,0.0,0.0,0.0,3131.4156010059564,-15622.50177564679,24375.781213267,-335285.3302259378,-43839.891598904054,0.0
0.12271963966676418,500.0010927016337,2481.584259510414,14956.98820129899,0.018158593492324068,-150.12735658993867,-350.9762276061485,-0.4017769875807992,0.00035977277912405055,0.042493022669871136,0.005018487971736842,-0.3188618698419028,0.0,0.02778646911579436,0.0,0.0,0.0,3199.0081356517476,-15682.809160584478,24454.42615161619,-336450.42036278814,-44786.81939861503,0.0
0.14726356760011713,500.00158589438007,2477.899229200109,14948.371473240715,0.022044214812855942,-150.15306117003183,-351.1711948885229,-0.4006836828938695,0.0004897654409864253,0.04644282384381383,0.0055585905588353855,-0.3204121937431557,0.0,0.028505345568084768,0.0,0.0,0.0,3266.888782692377,-15742.28625223791,24532.95243260749,-337613.42851360526,-45739.251772586504,0.0
0.17180749553346988,500.0021755046462,2474.213567066654,14939.749961057174,0.026015396717113077,-150.17884154665825,-351.3660693753422,-0.39950386060362403,0.0006319597296090473,0.04957878031924606,0.006016430201437279,-0.32204138320864306,0.0,0.02924220937868448,0.0,0.0,0.0,3335.135100454919,-15801.241133947378,24612.073032937693,-338785.99808354717,-46698.77192097263,0.0
0.19635142346682263,500.00286363855486,2470.5272712558094,14931.123667039092,0.03007263255730842,-150.20469717755847,-351.56085001705173,-0.3982551960783505,0.0007845730601495788,0.052078237095110926,0.006410242781323099,-0.3236768609846362,0.0,0.029994733293704598,0.0,0.0,0.0,3403.716127322078,-15859.465868768348,24691.627492872347,-339967.6491846542,-47665.37366217012,0.0
0.2208953514001749,500.00365241241974,2466.840339936686,14922.492593490086,0.03421625123362673,-150.2306266913082,-351.75553691652715,-0.39695149677885816,0.0009462203409522614,0.05407938288081048,0.006754221036008366,-0.32538473829576864,0.0,0.030761189418232457,0.0,0.0,0.0,3472.516534626036,-15916.388903079333,24770.833709239785,-341149.21829937503,-48637.80895470176,0.0
0.24543927933352835,500.00454394985115,2463.152771315469,14913.856742705702,0.038446514813275115,-150.2566283698571,-351.95013055161775,-0.39560374738068793,0.0011158064142508333,0.055692056453394895,0.007059636124458967,-0.32715066325251463,0.0,0.03154014402984411,0.0,0.0,0.0,3541.5173609495087,-15971.906421637048,24849.641564702226,-342331.0950696449,-49616.12821520765,0.0
0.2699832072668812,500.0055403803442,2459.4645636440523,14905.21611696827,0.042763665849422226,-150.2827003980862,-352.1446314489714,-0.39422024846683806,0.0012925112274077633,0.05699927389543611,0.007335003186911939,-0.32896378677818944,0.0,0.03233052332825026,0.0,0.0,0.0,3610.7015737771167,-16025.931906455942,24928.01016727225,-343513.5708375023,-50600.372373881335,0.0
0.2945271352002338,500.00664383913147,2455.775715219622,14896.570718546767,0.04716792561138993,-150.30884085554413,-352.3390401837659,-0.3928076634030686,0.0014756827144582548,0.058067689416043046,0.007587154942163283,-0.3308153956487362,0.0,0.03313147327973916,0.0,0.0,0.0,3680.0539524688106,-16078.394998342945,25005.90664350856,-344696.87935047806,-51590.57700766068,0.0
0.3190710631335869,500.0078564669666,2452.086224385362,14887.920549696439,0.051659494308225064,-150.33504772068238,-352.53335737670886,-0.3913713473886811,0.0016648032858033604,0.058950883472850615,0.0078215775035648,-0.3326984833531462,0.0,0.03394231576066785,0.0,0.0,0.0,3749.5606774920057,-16129.238179567777,25083.304496606284,-345881.2080757605,-52586.7733462982,0.0
0.34361499106693977,500.0091804089609,2448.396089537639,14879.26561265586,0.05623855916605251,-150.3613189326819,-352.7275836683638,-0.38991519810763065,0.001859503907128203,0.059687871433182306,0.008042268788479476,-0.3346079464359078,0.0,0.03476256701588022,0.0,0.0,0.0,3819.208325848637,-16178.409082980303,25160.180442896635,-347066.6885851624,-53588.98696527622,0.0
