mach,aoa1,aoa2,f1,f2,f3,f4,vx,vy,vz,fx,fy,fz,tx,ty,tz
0.1,0.0,0.0,0.0,0.0,0.0,0.0,35.480569458007814,0.0,0.0,-0.11940618702777853,0.007556714274303512,0.031990703727250526,-0.0001133616367043691,-0.3956146135411102,0.09521079545436226
0.1,1.0e-5,0.0,0.0,0.0,0.0,0.0,35.480569458007274,6.192527575247733e-6,0.0,-0.11941877065912508,0.007516045614264417,0.03222969568396037,-0.00011348029729192632,-0.398608648362034,0.09470450298461501
0.1,1.2589254117941661e-5,0.0,0.0,0.0,0.0,0.0,35.48056945800696,7.795930327715456e-6,0.0,-0.11941878036297242,0.007515652612034462,0.03222923598985338,-0.00011273952310492108,-0.3986123451120114,0.09470136480522263
0.1,1.584893192461114e-5,0.0,0.0,0.0,0.0,0.0,35.48056945800646,9.814494798137785e-6,0.0,-0.1194187822699471,0.007515325254913519,0.032230100906222095,-0.00011468513003033698,-0.3986081396778902,0.09469265865681936
0.1,1.9952623149688786e-5,0.0,0.0,0.0,0.0,0.0,35.48056945800566,1.235571690529722e-5,0.0,-0.1194187808732658,0.00751467844808535,0.032230537966320236,-0.00011424084325008937,-0.39860653110387434,0.09468641065780666
0.1,2.5118864315095822e-5,0.0,0.0,0.0,0.0,0.0,35.4805694580044,1.5554925993013293e-5,0.0,-0.11941870945260935,0.007513387977640185,0.032228714058851304,-0.00011377186667568817,-0.3985929420209044,0.0946707055710514
0.1,3.1622776601683795e-5,0.0,0.0,0.0,0.0,0.0,35.48056945800241,1.958249161118167e-5,0.0,-0.119418694198663,0.007512471994692554,0.032227096645038145,-0.00011275605374276576,-0.3985997684858237,0.09465995577696257
0.1,3.9810717055349695e-5,0.0,0.0,0.0,0.0,0.0,35.48056945799925,2.4652896315561957e-5,0.0,-0.11941871553732945,0.007511227782142393,0.03222923592639104,-0.00011421593011586711,-0.398592881662844,0.09464686515316031
0.1,5.011872336272725e-5,0.0,0.0,0.0,0.0,0.0,35.48056945799424,3.1036157645986325e-5,0.0,-0.11941870051587676,0.007509651025271682,0.03222863116094099,-0.00011317024297474026,-0.3985958338709581,0.09462899743969905
0.1,6.309573444801929e-5,0.0,0.0,0.0,0.0,0.0,35.4805694579863,3.907220754497907e-5,0.0,-0.11941870820983973,0.0075078610337599855,0.0322279151349779,-0.00011395790509671766,-0.3986021804385342,0.09460686085896888
0.1,7.943282347242822e-5,0.0,0.0,0.0,0.0,0.0,35.480569457973715,4.9188994973264204e-5,0.0,-0.11941871297558201,0.007505606772309232,0.03222771675020079,-0.00011409596226300694,-0.398604206765166,0.09457719810843786
0.1,0.0001,0.0,0.0,0.0,0.0,0.0,35.48056945795377,6.19252757524462e-5,0.0,-0.11941871756729605,0.0075024807913790705,0.0322283088365896,-0.00011364651624122535,-0.39860471416783677,0.09454024772324374
0.1,0.00012589254117941674,0.0,0.0,0.0,0.0,0.0,35.480569457922165,7.795930327709254e-5,0.0,-0.11941870421525567,0.007498178517903999,0.03222735372801429,-0.00011148351562075692,-0.39859819111925715,0.0944925807201675
0.1,0.00015848931924611142,0.0,0.0,0.0,0.0,0.0,35.48056945787207,9.814494798125395e-5,0.0,-0.11941870869643328,0.007493243905743931,0.03222938209268302,-0.00011259598710714608,-0.3985904406170383,0.09443511166249643
0.1,0.00019952623149688788,0.0,0.0,0.0,0.0,0.0,35.480569457792676,0.00012355716905272497,0.0,-0.11941871722343268,0.007487255507437879,0.03222839937262505,-0.00011181752375408888,-0.39859979988035493,0.0943621073659468
0.1,0.00025118864315095795,0.0,0.0,0.0,0.0,0.0,35.480569457666846,0.00015554925992963944,0.0,-0.1194187184013564,0.007479791879583595,0.0322279300673993,-0.00011174370220443097,-0.3986107374736436,0.0942710221997765
0.1,0.00031622776601683794,0.0,0.0,0.0,0.0,0.0,35.48056945746742,0.00019582491611083244,0.0,-0.11941873125014749,0.007470074467654691,0.03222966910396429,-0.00011201735338536162,-0.3986102005668342,0.09415839563372455
0.1,0.00039810717055349735,0.0,0.0,0.0,0.0,0.0,35.48056945715133,0.000246528963153656,0.0,-0.11941874739990066,0.007458079043030287,0.03223008237164232,-0.00011233397549027108,-0.39861824666832496,0.09401513751127705
0.1,0.0005011872336272725,0.0,0.0,0.0,0.0,0.0,35.48056945665039,0.0003103615764559449,0.0,-0.1194186671811481,0.007441985164035144,0.03222885934709857,-0.0001129287310586563,-0.39859949997159844,0.09382321246099382
0.1,0.000630957344480193,0.0,0.0,0.0,0.0,0.0,35.48056945585645,0.0003907220754419725,0.0,-0.11941866608919285,0.007422639236164174,0.03222946023002373,-0.00011250602968271989,-0.3985971463018323,0.09359105028628875
0.1,0.0007943282347242813,0.0,0.0,0.0,0.0,0.0,35.48056945459812,0.0004918899497170421,0.0,-0.1194186922066418,0.007398480738123186,0.03223044063325925,-0.0001116405908294163,-0.3986149397820698,0.09330590626605753
0.1,0.001,0.0,0.0,0.0,0.0,0.0,35.48056945260382,0.0006192527574933371,0.0,-0.11941860097280924,0.0073670879824944396,0.032228929782851835,-0.00011135879763088385,-0.3985923798696067,0.09293005416664711
0.1,0.0012589254117941675,0.0,0.0,0.0,0.0,0.0,35.48056944944305,0.0007795930327088234,0.0,-0.11941855236119633,0.007328462171988335,0.03222868831995481,-0.00011079775366455713,-0.398599771807975,0.09246679814606029
0.1,0.001584893192461114,0.0,0.0,0.0,0.0,0.0,35.48056944443358,0.0009814494796886292,0.0,-0.11941854806172952,0.007279893622541859,0.03222799984201206,-0.00011018912566093664,-0.39861985963467256,0.0918916378112492
0.1,0.001995262314968879,0.0,0.0,0.0,0.0,0.0,35.48056943649411,0.0012355716902800167,0.0,-0.11941842063516249,0.007217490047463681,0.03222798390462129,-0.00010842401923326361,-0.3985928318837803,0.09115182300459618
0.1,0.0025118864315095794,0.0,0.0,0.0,0.0,0.0,35.48056942391088,0.0015554925988030997,0.0,-0.11941837864220141,0.0071403838066773535,0.032227249687907286,-0.00010789100462157974,-0.3986116380804971,0.09023127589714122
0.1,0.0031622776601683794,0.0,0.0,0.0,0.0,0.0,35.48056940396781,0.0019582491601240716,0.0,-0.11941824646415258,0.007042419948164735,0.032226618966656524,-0.00010852421878946444,-0.39858195385047324,0.08906204624075059
0.1,0.003981071705534973,0.0,0.0,0.0,0.0,0.0,35.480569372360186,0.0024652896295727176,0.0,-0.11941811022027678,0.00691944677601072,0.03222496557863271,-0.00010613480659395907,-0.3985839844648216,0.08759509695587037
0.1,0.005011872336272725,0.0,0.0,0.0,0.0,0.0,35.48056932226548,0.0031036157606410676,0.0,-0.11941801527739487,0.006765377699733037,0.03222543034019305,-0.00010386693133886127,-0.3986097077533795,0.08575990166132795
0.1,0.00630957344480193,0.0,0.0,0.0,0.0,0.0,35.48056924287071,0.003907220746601528,0.0,-0.11941776738653903,0.006570264453403625,0.03222394596937427,-0.0001019841919376388,-0.3985892665247702,0.08343496946411677
0.1,0.007943282347242814,0.0,0.0,0.0,0.0,0.0,35.480569117038485,0.004918899481571067,0.0,-0.1194175141478675,0.006324608249150063,0.03222438014148896,-9.950424223161003e-5,-0.3985882872538183,0.08051190623091754
0.1,0.010000000000000002,0.0,0.0,0.0,0.0,0.0,35.48056891760784,0.006192527543808568,0.0,-0.11941718784659391,0.006015985111075474,0.03222209393229612,-9.49589730115108e-5,-0.3985785793935459,0.0768312127197757
0.1,0.012589254117941675,0.0,0.0,0.0,0.0,0.0,35.48056860153157,0.007795930264986085,0.0,-0.11941669810246536,0.005627316267906456,0.03221841645899175,-9.029726452993575e-5,-0.39855876872897966,0.07219217794181272
0.1,0.015848931924611134,0.0,0.0,0.0,0.0,0.0,35.480568100584456,0.009814494672976211,0.0,-0.11941618348623276,0.005140695389812545,0.03221861520368702,-8.322102961052028e-5,-0.3986252996127186,0.06637361782472806
0.1,0.0199526231496888,0.0,0.0,0.0,0.0,0.0,35.48056730663678,0.012355716655567065,0.0,-0.1194155387475832,0.0045189005410045556,0.03224142805688287,-7.77531104978503e-5,-0.3986101990895584,0.05906751909196743
0.1,0.025118864315095794,0.0,0.0,0.0,0.0,0.0,35.48056604831453,0.015554925494736097,0.0,-0.11941448276157134,0.003744329921073786,0.03223172119938043,-6.806589906111632e-5,-0.39858392983722524,0.049816604713349505
0.1,0.03162277660168379,0.0,0.0,0.0,0.0,0.0,35.48056405400819,0.019582490616988,0.0,-0.11941306278172525,0.0027665899059887878,0.03223045105598344,-5.702302334991555e-5,-0.39855241766841626,0.03819488699096068
0.1,0.039810717055349734,0.0,0.0,0.0,0.0,0.0,35.48056089324572,0.02465289433188484,0.0,-0.11941125212254752,0.001535283486650808,0.032236020466602795,-4.1830247000662624e-5,-0.39857673236984437,0.0235753556587201
0.1,0.05011872336272722,0.0,0.0,0.0,0.0,0.0,35.480555883775004,0.031036153688030112,0.0,-0.11940862961206453,-1.4786654489043321e-5,0.032232389277608256,-2.4109264695431395e-5,-0.39855473848460743,0.005118680901163811
0.1,0.06309573444801933,0.0,0.0,0.0,0.0,0.0,35.480547944299445,0.03907219964781844,0.0,-0.11940506719378711,-0.00197536204835777,0.03224330940731138,-3.870697284844016e-7,-0.39853540719061575,-0.018069192450750577
0.1,0.07943282347242814,0.0,0.0,0.0,0.0,0.0,35.480535361079895,0.04918897921635764,0.0,-0.11940003410360964,-0.004444687238003635,0.03225807739807279,2.833545284656319e-5,-0.3986085313164831,-0.04729513179919832
0.1,0.1,0.0,0.0,0.0,0.0,0.0,35.48051541802393,0.06192524431328623,0.0,-0.11939271999220552,-0.007550676543142994,0.03226348723486435,6.24049202001542e-5,-0.3986340105310878,-0.08413715255494399
0.1,0.12589254117941673,0.0,0.0,0.0,0.0,0.0,35.480483810417944,0.07795924054772703,0.0,-0.11938203740307111,-0.011480851317675745,0.0322787726460358,0.00010858167730570106,-0.39866329518545124,-0.13053852718782688
0.1,0.15848931924611134,0.0,0.0,0.0,0.0,0.0,35.48043371575763,0.09814482281973251,0.0,-0.11936627513929966,-0.016442163485983863,0.03229928338274449,0.0001690716382801022,-0.39873206245301795,-0.18900205899041908
0.1,0.19952623149688797,0.0,0.0,0.0,0.0,0.0,35.4803543211198,0.123556919322714,0.0,-0.1193428106701084,-0.022708731736560264,0.03232011081740781,0.00024013160403910105,-0.3987682736667912,-0.2626777455216427
0.1,0.251188643150958,0.0,0.0,0.0,0.0,0.0,35.48022848922009,0.15554876165293632,0.0,-0.119307557838556,-0.030664745292060525,0.03236340896845089,0.00033233897500595244,-0.3989295416783178,-0.35555782951089226
0.1,0.31622776601683794,0.0,0.0,0.0,0.0,0.0,35.48002905940356,0.19582392191866296,0.0,-0.1192540900350209,-0.04073980869967468,0.032417907323123295,0.0004490871856293044,-0.3991722713839863,-0.47267860139774437
0.1,0.39810717055349726,0.0,0.0,0.0,0.0,0.0,35.47971298521036,0.24652697948125346,0.0,-0.11917220930322218,-0.05354539066266011,0.03248557450776986,0.0005915565767422026,-0.39944499610135886,-0.6204637265756006
