iter,rch
1,2.596994134775944e6
2,670574.6456526652
3,234194.93561295763
4,72419.27146558547
5,21680.540078263715
6,8253.609268884511
7,2038.3363908920119
8,705.5055197934462
9,202.86102260442178
10,95.91627529904099
11,49.97122614296567
12,38.85037151444041
13,43.0152534870082
14,34.489439992254965
15,22.117152372239232
16,16.56198912601244
17,17.647661382158965
18,13.443147921060207
19,6.913794186369489
20,5.346750669845514
21,0.9086982621309168
22,2.6508857605322933
23,1.7796473762083105
24,1.1260220454256857
25,0.9107405314407013
26,0.7559463055492812
