iter,rch
1,2.603165747169376e6
2,679007.8462585064
3,195865.43690230843
4,80365.7798285686
5,22190.65495107484
6,6902.388900025001
7,1921.304385555844
8,561.9209613085372
9,325.900054578835
10,272.11121471247463
11,170.52369997541942
12,120.36908273212777
13,142.47730002490414
14,69.88420842170036
15,72.10139156751438
16,54.82728092082331
17,40.724883259907074
18,33.730881907853245
19,19.04602988313463
20,10.33668311134499
21,17.244983726882953
22,10.973327572448106
23,8.045587265424793
24,7.617542756454463
25,8.029202957177594
26,7.3858584214681695
27,12.549024149317223
28,6.9427388055980295
