liquidfuel,mass,lx11,lx12,lx13,lx21,lx22,lx23,lx31,lx32,lx33,ex,ey,ez
4048.251953125,55069.50390625,1.862085875e6,-290.9252014160156,-1.0514333248138428,-290.9252014160156,22837.693359375,127.04473876953125,-1.0514185428619385,127.04473876953125,1.86208725e6,-0.0008209072385234606,-8.768545411003537,0.00045909643020465574
4044.755859375,55030.6640625,1.860850875e6,-312.48773193359375,-1.0166466236114502,-312.48773193359375,22825.064453125,203.12905883789062,-1.016661524772644,203.12905883789062,1.8608535e6,-0.0008853485160011942,-8.768015085550623,0.0006915134275709278
4041.259521484375,54991.81640625,1.859765125e6,-241.57577514648438,-1.0070874691009521,-241.57583618164062,22808.693359375,190.15603637695312,-1.0070949792861938,190.1559295654297,1.859767875e6,-0.0007278789137012964,-8.767689291966756,0.0006013285227533943
4037.763427734375,54952.96875,1.85855375e6,-302.1157531738281,-1.0225027799606323,-302.1157531738281,22792.328125,182.3504638671875,-1.0224804878234863,182.3505096435547,1.85855675e6,-0.0008599111246914148,-8.767195383477668,0.0006280986560805168
4034.267333984375,54914.125,1.857424125e6,-276.88043212890625,-0.9762942790985107,-276.88043212890625,22776.298828125,171.01513671875,-0.9762793779373169,171.01502990722656,1.857427125e6,-0.0008004145024997911,-8.766804863877773,0.000578452426983983
4030.771240234375,54875.28125,1.856245375e6,-288.3203125,-1.0155811309814453,-288.32025146484375,22759.71875,179.4314422607422,-1.0155513286590576,179.4314422607422,1.856248375e6,-0.0008243040123989687,-8.766348079114303,0.0006117311400189174
4027.27490234375,54836.4296875,1.855090875e6,-280.1481628417969,-1.0138227939605713,-280.148193359375,22743.51171875,180.2142333984375,-1.0138378143310547,180.21446228027344,1.855094125e6,-0.0008061370471210694,-8.765922731902943,0.0006071932207672714
4023.77880859375,54797.5859375,1.853926125e6,-283.7967224121094,-1.032307744026184,-283.7966003417969,22727.142578125,180.33641052246094,-1.0323152542114258,180.3363494873047,1.853929625e6,-0.0008116989225808169,-8.765482773606198,0.0006105776808505298
4020.28271484375,54758.73828125,1.852765875e6,-283.00274658203125,-1.0411665439605713,-283.0028991699219,22710.92578125,180.49925231933594,-1.0411813259124756,180.49925231933594,1.852768875e6,-0.0008078144040739588,-8.765047933700702,0.0006129773829465224
4016.78662109375,54719.890625,1.85160475e6,-281.7344665527344,-1.0516717433929443,-281.7343444824219,22694.63671875,181.15890502929688,-1.0516643524169922,181.15890502929688,1.851607875e6,-0.0008028086145550617,-8.764612007055446,0.0006145122756180538
4012.70751953125,54674.57421875,1.850249375e6,-280.76739501953125,-1.0596885681152344,-280.7674560546875,22675.671875,182.42042541503906,-1.05971097946167,182.42042541503906,1.850252625e6,-0.0007977453738767792,-8.76410251726696,0.0006171061458806748
4009.21142578125,54635.73046875,1.84908825e6,-280.1187744140625,-1.0641813278198242,-280.11871337890625,22659.3515625,182.74147033691406,-1.0641887187957764,182.74122619628906,1.8490915e6,-0.0007960559678821255,-8.763668103250495,0.000617671001252304
4005.71533203125,54596.8828125,1.847926875e6,-279.6788330078125,-1.066185474395752,-279.6788330078125,22643.0,183.36605834960938,-1.0661929845809937,183.36605834960938,1.847930125e6,-0.0007957159761797783,-8.763232963359393,0.0006197579447063395
4002.218994140625,54558.03125,1.8467665e6,-279.7458190917969,-1.0660886764526367,-279.7458801269531,22626.796875,183.90602111816406,-1.0660812854766846,183.90614318847656,1.846769875e6,-0.0007974080530646077,-8.762796682568965,0.0006199440537234535
3998.722900390625,54519.18359375,1.845606125e6,-278.9042053222656,-1.0643229484558105,-278.9040832519531,22610.375,183.45004272460938,-1.0643452405929565,183.45004272460938,1.845609375e6,-0.000795220700446464,-8.762361771396554,0.000618560606707258
3995.226806640625,54480.33984375,1.844445625e6,-279.2227783203125,-1.0612159967422485,-279.22271728515625,22594.12890625,184.08375549316406,-1.0611488819122314,184.08363342285156,1.844449e6,-0.0008004622329877975,-8.761927334540946,0.0006222561584747904
