mach,aoa_net,lift,drag,trq,lift_raw,drag_raw,trq_raw,refvel
0.5,33.40319873,0.00819084215851789,0.0030205966693541988,-0.04059112919306845,139.86849196125644,93.69257546460456,-693.1424043295602,176.11900329589844
0.5,31.95225354,0.008072402912276068,0.0027115676308793932,-0.038869755441519,132.50896402033928,84.10714262552072,-638.0492997254747,176.1190032958984
0.5,30.60592609,0.007944898982674482,0.0024398493546977044,-0.03724423585839445,125.46710597079812,75.67901140411277,-588.1668851217457,176.11900329589844
0.5,29.3751506,0.0078104061464217955,0.0022036847610973445,-0.03571392970190061,118.83598293386126,68.3536808717514,-543.3904282302329,176.11900329589844
0.5,28.27180851,0.007674780370783646,0.00200223189759849,-0.034301067389386895,112.75620562243442,62.1050354278158,-503.9438291094413,176.11900329589844
0.5,27.30843118,0.00754525946390065,0.001834503329243816,-0.03304211003338589,107.37208545706328,56.902446910262995,-470.20255289568297,176.11900329589844
0.5,26.49771804,0.0074278724412769675,0.0016993863675802377,-0.0319592811893846,102.79443844062655,52.71140205622777,-442.2849730930604,176.11900329589844
0.5,25.8518624,0.007329266795001731,0.0015957531650896322,-0.03108592067784062,99.13000737145857,49.49691740043106,-420.44417704161214,176.11900329589844
0.5,25.38171997,0.00725442998289144,0.0015225750282788807,-0.03044117071227556,96.45292981038936,47.227085027555425,-404.7375340284035,176.11900329589844
0.5,25.09591123,0.007207830660950076,0.0014790255883373564,-0.03004737304119984,94.82457794634327,45.87627270972456,-395.2963937491487,176.11900329589844
0.5,25.0,0.007191953851530064,0.0014645710404725958,-0.02991423409132482,94.27739836324898,45.42792294149306,-392.13768919823053,176.11900329589844
0.5,30.3611934,0.007919069635283642,0.0023919460978368643,-0.03693774081592884,124.15503629350445,74.19315281399713,-579.1092593969149,176.11900329589844
0.5,28.87255108,0.007749988687394445,0.0021106943363073598,-0.03507016675362779,116.07464361245255,65.46931286574943,-525.2597483113516,176.11900329589844
0.5,27.49983319,0.007571585416123987,0.0018672105548647971,-0.03329122504446225,108.4432275761594,57.91695647250349,-476.8100332194203,176.11900329589844
0.5,26.25827972,0.0073914174150893665,0.0016605473148971854,-0.03163127312100583,101.43159176127236,51.50669607498908,-434.07241154440754,176.11900329589844
0.5,25.16460547,0.007218779648977585,0.0014894271724995314,-0.030137977562400255,95.21166596801322,46.19890804166193,-397.503067298798,176.11900329589844
0.5,24.23642955,0.007061701196183525,0.0013523633889702279,-0.028841863731143884,89.91621050475878,41.94747685521059,-367.24169127981077,176.11900329589844
0.5,23.49132345,0.006929212051714095,0.0012478118158725825,-0.027788789001560184,85.67314045609423,38.70450626871099,-343.58204157520333,176.1190032958984
0.5,22.94548002,0.006828303140797252,0.001174334635160397,-0.027006354632999732,82.57116025492613,36.42539818101167,-326.57396578946043,176.11900329589844
0.5,22.61213241,0.0067652972867717764,0.0011307596552675519,-0.026526539495591462,80.68360246434109,35.0737936674399,-316.3581254000177,176.11900329589844
0.5,22.5,0.0067438024849833175,0.0011163238873790834,-0.026363917873877367,80.0491897921153,34.626026414697414,-312.94069929377105,176.11900329589844
0.5,27.23631348,0.007534947017218266,0.0018222572339303036,-0.03294433872387331,106.96385750445708,56.52259870975723,-467.667993522253,176.11900329589847
0.5,25.71300814,0.007307517034943222,0.00157394013415459,-0.030897316601793057,98.34120812780175,48.82032291572943,-415.8018965947061,176.11900329589844
0.5,24.3212369,0.007076830470412465,0.0013645730290345844,-0.02896621999901247,90.40502333468287,42.3261942903225,-370.0373784389458,176.11900329589844
0.5,23.08236121,0.006854550438264557,0.0011925127650815816,-0.027211678282235658,83.35606837224285,36.98924565748067,-330.9128054197806,176.11900329589844
0.5,22.02000161,0.006651083637784173,0.0010557893719788582,-0.025673663110709816,77.34911029392327,32.7483726683727,-298.5731510453399,176.11900329589847
0.5,21.15886527,0.006478465680937478,0.0009523079368175076,-0.02441393789837443,72.53336338154227,29.53859551692225,-273.3401883053502,176.11900329589844
0.5,20.5227616,0.006346313918057009,0.0008800820109910703,-0.023471048474955097,69.01133946871836,27.298298732300147,-255.2298097614087,176.1190032958984
0.5,20.13190638,0.006263497618468849,0.0008374708424456063,-0.022890253388189473,66.86798872835492,25.97658962592204,-244.3722818760826,176.11900329589844
0.5,20.0,0.0062351760681712675,0.0008233926567242889,-0.022692702543843295,66.1474100206658,25.539913822269888,-240.7411568226749,176.11900329589844
0.5,24.03208385,0.007026933680152083,0.001323202664999045,-0.028567014030846657,88.76410904046705,41.042972338274645,-360.85804474815313,176.11900329589844
0.5,22.4785692,0.006740532841045158,0.0011135784369407133,-0.026343819735007892,79.93812339858238,34.54086829842486,-312.41973927398624,176.11900329589844
0.5,21.07851937,0.006462527464590362,0.000942989811800119,-0.024302422669490537,72.0927007482687,29.249566815991138,-271.10558439701396,176.11900329589847
0.5,19.862462,0.006206016931147338,0.000808878492322404,-0.022493334181815934,65.40365736113581,25.089714874053488,-237.05161266213875,176.11900329589847
0.5,18.86430798,0.0059867073011947046,0.0007084638941097614,-0.020997847857148158,60.040427567782764,21.97506457458221,-210.58650438695034,176.11900329589847
0.5,18.11870945,0.00581761538692904,0.0006390627869393661,-0.01986862072322626,56.117639354985364,19.822387741935238,-191.6558620791821,176.11900329589844
0.5,17.65665808,0.005711111901012219,0.0005984269998992803,-0.019169188810387972,53.730782441600454,18.56195082811488,-180.34588209878507,176.11900329589844
0.5,17.5,0.005674588879570609,0.0005850576037810737,-0.018930330432364893,52.92838526503597,18.14726019184762,-176.56817852053115,176.11900329589844
