mach,cl1_lin,cl1_const,cl1_scale,cl2_lin,cl2_const,cl2_scale
0.1,-0.838514162707545,0.9789728265917519,0.002495889487177923,-0.9805371216006199,1.1176962751637833,0.0025257393407458585
0.5,-0.034920935312434565,0.040198916744229485,0.0025789950566991265,-0.03968347921593569,0.0448572531830181,0.0026048452939063686
0.7,-0.018434439638435055,0.021067613975641837,0.002674984297984644,-0.021375089067344376,0.023945196216629275,0.0027076130995687857
0.9,-0.010648007337000453,0.012398951177243055,0.0023765452291239766,-0.012750746077123142,0.014477275971319925,0.002393274862319332
1.05,-0.0012223678962683024,0.0027656992745884457,0.0017984279504922051,-0.0041905521157372515,0.0057242636048435115,0.0018040339869309725
1.1,0.00011484958036216624,0.0011110637281842321,0.0017096703348728356,-0.0032899016852128583,0.004511700623690776,0.00171914901099397
1.2,-0.002149155370171073,0.0026836062560786174,0.0020000759469557686,-0.0035660205224568825,0.00408563855854045,0.002028354936017481
1.5,-0.0012668907611557475,0.001614777204544828,0.002372131878724952,-0.001553765984685216,0.0018983338916153292,0.0023834689640414037
1.8,-0.0011670806171919775,0.0014851978370209577,0.002461427265670107,-0.0012368469604335083,0.0015523862362213435,0.0024784960119481874
2.0,-0.0011428958569316447,0.0014374847360457102,0.002489036470392721,-0.0012031159693809753,0.0014956649478905738,0.002525590138218256
2.5,-0.0008920690177515445,0.0011432536033941744,0.002437255385140851,-0.0009775575442042565,0.0012262793134581323,0.0024457293323440436
3.0,-0.0007783074983322803,0.001002052057117089,0.0023245477709617052,-0.0008064615890116504,0.001028393621848757,0.002333994588741648
