mach,cl1_lin,cl1_const,cl1_scale,cl2_lin,cl2_const,cl2_scale
0.1,-1.2543752534278025,1.4156593464298273,3.5541215049324824,-1.356420710041017,1.512810792757153,3.546613678844707
0.5,-0.05047133631088248,0.056428086852986954,89.96065289239755,-0.05666154921604137,0.06238120202980032,90.64433480377927
0.7,-0.026762524142480152,0.02971055628961486,181.26900514946288,-0.03000052027853577,0.03280621869770956,181.43891485174095
0.9,-0.017943094528552812,0.020040309250532403,315.1714949250709,-0.0185447389449568,0.020612661403667503,317.26886804259755
1.05,-0.01133809641239946,0.013564166066149859,356.0693711553985,-0.013184048999932025,0.015380955674110226,358.42096148417056
1.1,-0.008040138052351552,0.010155250429154768,353.655037985656,-0.010344748264288326,0.012389349406368214,338.00390289393226
1.2,-0.004360703113097164,0.005762180960930181,425.62465878152096,-0.0069650237898802245,0.008326290545917167,431.86252671258706
1.5,-0.0012990218904286456,0.0016539311664892282,730.7060666089492,-0.0015884745224875123,0.001938802129655759,735.496909803847
1.8,-0.0011616734915219846,0.0014801516249003136,997.2139898801239,-0.0012313663542854352,0.0015472714482119287,1001.2619849890605
2.0,-0.0011214517736684523,0.0014185553394009166,1284.1374221094559,-0.001177720235737231,0.0014728811332497813,1289.6848447320137
2.5,-0.0009268366233759499,0.0011795930203983168,2009.7541188262283,-0.000947208598179789,0.001198318807252509,2009.3734423310332
3.0,-0.0007437265251767955,0.0009656705048100549,2740.947853333443,-0.0007510811560319983,0.0009716759829633293,2752.377429485455
