aoa1,aoa2,mach,lin_x,lin_z,offs_x,offs_z
-25.0,-25.0,0.1,0.9106082062982863,0.8320329261104403,-0.5554757561268859,0.6005349111786953
-25.0,-20.0,0.1,0.9662949407091416,0.8174507916959854,-0.44725175081516355,0.5994205967605253
-25.0,-15.0,0.1,0.9328651186537392,0.749657892803218,-0.3317069911688654,0.5592939559512349
-25.0,-10.0,0.1,0.9299018255999034,0.6882693083847962,-0.222253091765052,0.556144037940922
-25.0,-5.0,0.1,0.913415529596515,0.6572191490805145,-0.1075631601813131,0.5561230123109918
-25.0,0.0,0.1,0.916289714866318,0.6443024393858732,2.2228462104378714e-6,0.5558254882731178
-25.0,5.0,0.1,0.9119379929662781,0.6511620577149336,0.10756735282573679,0.556123600530424
-25.0,10.0,0.1,0.9277501817430939,0.6801761425634977,0.2222839094423308,0.5582898022503177
-25.0,15.0,0.1,0.9283466876100319,0.7310374353622088,0.33183327611982916,0.560320174919965
-25.0,20.0,0.1,0.9601502797453392,0.7689256295982364,0.44736143973810066,0.5992670145833234
-25.0,25.0,0.1,0.9718665559121765,0.8777756742231259,0.5557352057109132,0.6015285435610745
-20.0,-25.0,0.1,0.8643035630066013,0.8904869289547076,-0.5556941133518873,0.4430144331517032
-20.0,-20.0,0.1,0.8395755582461264,0.8420171803206301,-0.44727586646190715,0.4428410290592123
-20.0,-15.0,0.1,0.8210014607166074,0.7364186404538257,-0.3295099496213605,0.442832342925277
-20.0,-10.0,0.1,0.8178570596992097,0.6936922054123401,-0.2221679954619471,0.44712339029303444
-20.0,-5.0,0.1,0.8048165374852574,0.6638385994712402,-0.10731989453890922,0.4474770434570626
-20.0,0.0,0.1,0.808925766508898,0.6526771456393934,1.165258304759053e-6,0.44762682081046795
-20.0,5.0,0.1,0.8040026647414099,0.6579324312801881,0.10727162641347336,0.4472933271215019
-20.0,10.0,0.1,0.816360287619008,0.6709248471143942,0.22223922802025953,0.44283586846855477
-20.0,15.0,0.1,0.8181314593090299,0.7179149583022902,0.32929515600218007,0.44368033412429453
-20.0,20.0,0.1,0.8362304964527637,0.7925097353542302,0.44733363775492746,0.444685326065627
-20.0,25.0,0.1,0.8413173993009638,0.8723474048739018,0.5560219179149513,0.44319696749542786
-15.0,-25.0,0.1,0.7668230088521527,0.9317932072992804,-0.5560764060002962,0.3342251563851048
-15.0,-20.0,0.1,0.7550396565035986,0.8267741851646713,-0.4476487413929692,0.3314623383532605
-15.0,-15.0,0.1,0.7411798702809773,0.7438393553079379,-0.32874928640764794,0.3305397190803772
-15.0,-10.0,0.1,0.7423078525338099,0.6890881460526211,-0.22228942623209488,0.3294027706362614
-15.0,-5.0,0.1,0.7309654281934247,0.6568896882126607,-0.10713885189329683,0.3287195696940238
-15.0,0.0,0.1,0.7349512212061273,0.6653112641603779,2.2646812005071878e-6,0.3372161977137974
-15.0,5.0,0.1,0.7303608441933286,0.6715447929822574,0.1071553695337735,0.33736938470652084
-15.0,10.0,0.1,0.7410417304170538,0.6960946695551622,0.222270130324374,0.33771578162652804
-15.0,15.0,0.1,0.7404729040814537,0.7421698017383542,0.3291253369582716,0.3385173893471442
-15.0,20.0,0.1,0.7524775732438693,0.8102087976842278,0.4474112835708445,0.33642478826987005
-15.0,25.0,0.1,0.7513685265988134,0.8969874030305515,0.5560235281363015,0.3297129944791751
-10.0,-25.0,0.1,0.7037112464644069,0.9152680802843941,-0.5558863652735716,0.21558257937250194
-10.0,-20.0,0.1,0.6992621666836923,0.8199469579447826,-0.447455602160146,0.22102822137215744
-10.0,-15.0,0.1,0.6894562189344103,0.7423919746364219,-0.328835015051551,0.22195110137336352
-10.0,-10.0,0.1,0.6921627681346137,0.6907106985564213,-0.22215856144748586,0.22179481547277183
-10.0,-5.0,0.1,0.6831002253985822,0.6610724104144122,-0.10701927991263643,0.2219410401037216
-10.0,0.0,0.1,0.687603578168036,0.6492604630269422,1.5260680874953466e-6,0.22218794935487457
-10.0,5.0,0.1,0.6829063212198881,0.6549794833867905,0.10701748147706228,0.22194298870515136
-10.0,10.0,0.1,0.6921113117926052,0.6786453341274203,0.2222532495831332,0.22212876646919316
-10.0,15.0,0.1,0.6895337690214964,0.7112974452710462,0.3288821698933685,0.217588599262663
-10.0,20.0,0.1,0.699094208615681,0.7795217483266493,0.44755123518240003,0.21769478099838727
-10.0,25.0,0.1,0.6938876392486861,0.8819696843544967,0.5559503144126491,0.21753274879060971
-5.0,-25.0,0.1,0.6660789318424064,0.8919278544436832,-0.5555618070105922,0.10832915975480292
-5.0,-20.0,0.1,0.6681859569554274,0.8107515477527036,-0.44741323182693377,0.10690926744857117
-5.0,-15.0,0.1,0.6605460162678339,0.7335853758054436,-0.32880888776821215,0.10669180926459951
-5.0,-10.0,0.1,0.6645579392964894,0.6825948568741319,-0.22198665300175222,0.10686531383531435
-5.0,-5.0,0.1,0.6594538536016396,0.6561246148611887,-0.10834947718653341,0.10828035102931889
-5.0,0.0,0.1,0.6606733690277145,0.644548808103596,1.1474019771815409e-6,0.10836355517685468
-5.0,5.0,0.1,0.6594699755901202,0.6470478066070229,0.10834104174645233,0.10695304433611766
-5.0,10.0,0.1,0.6645587259010497,0.6702892468247237,0.22206346059556034,0.10690581354635338
-5.0,15.0,0.1,0.6816346318791567,0.7138668278376722,0.33731235752801364,0.10706755332586898
-5.0,20.0,0.1,0.6686680358588082,0.7816179902331019,0.4477384807306271,0.10692499689183937
-5.0,25.0,0.1,0.6603405388638159,0.8821803067634295,0.5553657848708755,0.10699999638861162
0.0,-25.0,0.1,0.6509912128459987,0.9044070483214179,-0.5550948007370522,-1.9083958903065716e-6
0.0,-20.0,0.1,0.6585577661750314,0.8152648865596537,-0.4478801556632964,-2.028356207193002e-6
0.0,-15.0,0.1,0.6716310747991298,0.7377820201770835,-0.3370333445838863,-1.1590787122543942e-6
0.0,-10.0,0.1,0.6553266904871972,0.6871849101437952,-0.2220317960343728,-1.9125084683138953e-6
0.0,-5.0,0.1,0.6507518827476706,0.6574038422891956,-0.10836286782673335,-2.9745732953406306e-6
0.0,0.0,0.1,0.6518826877238298,0.6458178857954786,-1.7130188916336964e-6,-4.908496055485716e-6
0.0,5.0,0.1,0.6507463053432586,0.6514957569088733,0.10833397300741361,3.2544718413588237e-6
0.0,10.0,0.1,0.6555090721229629,0.6748977956501164,0.22217422385504024,2.7292193412397504e-6
0.0,15.0,0.1,0.6719668458168555,0.7020640014822435,0.3373929678408659,2.1781812504092653e-6
0.0,20.0,0.1,0.6591785758351014,0.7692106470094755,0.4479973386972536,6.486536637507851e-7
0.0,25.0,0.1,0.6492958049875042,0.8857545607457696,0.5551843153149975,8.134429285044307e-7
5.0,-25.0,0.1,0.6586677457327506,0.8923112589419593,-0.5553441521503084,-0.10839525935602216
5.0,-20.0,0.1,0.6681866439427815,0.8107517039099238,-0.44741534764934693,-0.1069098046411811
5.0,-15.0,0.1,0.6605466451671155,0.733585958302592,-0.3288116863034952,-0.10669280240222362
5.0,-10.0,0.1,0.6645583944548299,0.6825952418242308,-0.22198890017030065,-0.10686533930854362
5.0,-5.0,0.1,0.6594540938968542,0.6561247969539661,-0.10835069678329787,-0.1082810916108202
5.0,0.0,0.1,0.6606735823249393,0.644549005740957,2.141824851484898e-6,-0.1083622311875378
5.0,5.0,0.1,0.6594702222281718,0.6470484947719461,0.10834064586048962,-0.1069512816210354
5.0,10.0,0.1,0.6645588298218301,0.6702901808634016,0.22206256719685497,-0.10690682756229007
5.0,15.0,0.1,0.6816347601726853,0.7138680537286723,0.3373099030937728,-0.10706567487033233
5.0,20.0,0.1,0.668668103286925,0.7816194766851076,0.447736519057816,-0.10692527329030595
5.0,25.0,0.1,0.6603398664180314,0.8821817018941241,0.5553625043501971,-0.1069951934386575
10.0,-25.0,0.1,0.6883092885996409,0.9155815050296544,-0.5559890688398242,-0.2156945467344176
10.0,-20.0,0.1,0.6992640979255201,0.8199477759429054,-0.4474571796964214,-0.22102993754178693
10.0,-15.0,0.1,0.6894567552660003,0.7423931584362352,-0.3288363247830269,-0.22195413184678825
10.0,-10.0,0.1,0.6921638443221988,0.6907111703923485,-0.2221591431336148,-0.22179438987216998
10.0,-5.0,0.1,0.6831007249313902,0.6610729235012283,-0.10701827977568629,-0.2219428640370963
10.0,0.0,0.1,0.6876042765380893,0.6492609827777114,-8.576453622526707e-8,-0.22219003766228745
10.0,5.0,0.1,0.682907098858804,0.6549800434815933,0.10701861575517618,-0.22194022520076262
10.0,10.0,0.1,0.6921115235492634,0.6786458268148562,0.2222509456483079,-0.2221282508541315
10.0,15.0,0.1,0.6895335676119585,0.7112977535865462,0.3288793810426644,-0.21758605329697933
10.0,20.0,0.1,0.6990938322872243,0.779523180679147,0.44754898818713224,-0.21770237125828223
10.0,25.0,0.1,0.6938856792552556,0.8819703725594806,0.5559474854853219,-0.21752917125539975
15.0,-25.0,0.1,0.7427006307929128,0.9325777614956686,-0.55642881689405,-0.3346825696921376
15.0,-20.0,0.1,0.7550427150213469,0.8267751345024279,-0.44765330040109186,-0.33146136748003235
15.0,-15.0,0.1,0.7411823327266326,0.7438425528786163,-0.32875385112000405,-0.3305441550961205
